method,pattern,relative_effect,power,rejections,n_trials,std_err
OLS_DID,Block,0.0,0.3,3,10,0.1449137674618943
OLS_DID,Block,0.025,0.1,1,10,0.0948683298050513
OLS_DID,Block,0.05,0.0,0,10,0.0
OLS_DID,Block,0.075,0.1,1,10,0.0948683298050513
OLS_DID,Block,0.1,0.4,4,10,0.1549193338482966
OLS_DID,Block,0.125,0.7,7,10,0.1449137674618943
OLS_DID,Block,0.15,0.6,6,10,0.1549193338482966
OLS_DID,Block,0.175,0.9,9,10,0.0948683298050513
OLS_DID,Block,0.2,0.9,9,10,0.0948683298050513
SDID,Block,0.0,0.1,1,10,0.0948683298050513
SDID,Block,0.025,0.1,1,10,0.0948683298050513
SDID,Block,0.05,0.2,2,10,0.1264911064067352
SDID,Block,0.075,0.6,6,10,0.1549193338482966
SDID,Block,0.1,1.0,10,10,0.0
SDID,Block,0.125,1.0,10,10,0.0
SDID,Block,0.15,1.0,10,10,0.0
SDID,Block,0.175,1.0,10,10,0.0
SDID,Block,0.2,1.0,10,10,0.0
