dataset,method,pattern,baseline_type,trial,tau_hat,std_M
smoking,OLS_DID,Block,control,0,11.283123885020968,32.59078667096006
smoking,SDID,Block,control,0,0.3863674594690096,32.59078667096006
smoking,OLS_DID,Block,control,1,-16.292684154749065,32.59078667096006
smoking,SDID,Block,control,1,-7.458254326931345,32.59078667096006
smoking,OLS_DID,Block,control,2,-13.2776098955016,32.59078667096006
smoking,SDID,Block,control,2,-8.218300274772615,32.59078667096006
smoking,OLS_DID,Block,control,3,0.4851230125928278,32.59078667096006
smoking,SDID,Block,control,3,-0.6493672764469528,32.59078667096006
smoking,OLS_DID,Block,control,4,6.876320402746568,32.59078667096006
smoking,SDID,Block,control,4,-3.8570273770216974,32.59078667096006
smoking,OLS_DID,Block,control,5,9.389622822963068,32.59078667096006
smoking,SDID,Block,control,5,1.528043533784012,32.59078667096006
smoking,OLS_DID,Block,control,6,-2.269705440029659,32.59078667096006
smoking,SDID,Block,control,6,5.833101164475876,32.59078667096006
smoking,OLS_DID,Block,control,7,-4.1257153179586,32.59078667096006
smoking,SDID,Block,control,7,-6.158342233302062,32.59078667096006
smoking,OLS_DID,Block,control,8,1.6406202951053028,32.59078667096006
smoking,SDID,Block,control,8,2.9251554352109386,32.59078667096006
smoking,OLS_DID,Block,control,9,0.4555814738913539,32.59078667096006
smoking,SDID,Block,control,9,-3.9318879826820714,32.59078667096006
