method,pattern,treatment_level,mean_error,std_error
CovariancePCA,Adaptive,0.2,0.3081425502015846,0.49195940854397274
CovariancePCA,Block,0.2,2.0160526125066434,0.49440561988840814
CovariancePCA,IID,0.2,0.03920227566979378,0.002343568393280063
CovariancePCA,Staggered,0.2,1.418803300442023,1.1022072457000784
DC_PR_auto_rank,Adaptive,0.2,0.17395666153446807,0.07901062398967422
DC_PR_auto_rank,Block,0.2,0.14061139203682863,0.07529351307752194
DC_PR_auto_rank,IID,0.2,0.15402021445664746,0.013055423811239118
DC_PR_auto_rank,Staggered,0.2,0.18695510889610945,0.1965177606630753
DID,Block,0.2,0.36675746829153777,0.03868784173018438
DID,Staggered,0.2,0.6278335630054115,0.5082001276664607
MC_NNM_CV,Adaptive,0.2,0.1749615278373249,0.060094638541819866
MC_NNM_CV,Block,0.2,0.27015571105455005,0.0649696765145887
MC_NNM_CV,IID,0.2,0.022602013243157148,0.00742935629119316
MC_NNM_CV,Staggered,0.2,0.28853295593573275,0.29736502152319555
RobustSyntheticControl,Block,0.2,0.20611095624685913,0.007919096486543115
SC,Block,0.2,0.39466164138104026,0.16990435491049463
SDID,Block,0.2,0.2718695449025052,0.09454597411633239
SDID,Staggered,0.2,0.1882360128432152,0.06849348244213904
