method,pattern,treatment_level,trial,tau_star,tau_hat,error
DC_PR_auto_rank,IID,0.2,0,1.0641928381861152,1.2149354720570036,0.14164973533163847
MC_NNM_CV,IID,0.2,0,1.0641928381861152,1.047124203549056,0.01603904294841167
CovariancePCA,IID,0.2,0,1.0641928381861152,1.1055843368995903,0.038894735266237754
DC_PR_auto_rank,IID,0.2,1,1.0641928381861152,1.2426227059728412,0.1676668564043847
MC_NNM_CV,IID,0.2,1,1.0641928381861152,1.0417393751880533,0.02109905478816527
CovariancePCA,IID,0.2,1,1.0641928381861152,1.0198325653245333,0.04168443093189079
DC_PR_auto_rank,IID,0.2,2,1.0641928381861152,1.2267419640104622,0.1527440516339192
MC_NNM_CV,IID,0.2,2,1.0641928381861152,1.0315562339553697,0.030667941992894503
CovariancePCA,IID,0.2,2,1.0641928381861152,1.0247882667359953,0.03702766081125278
DC_PR_auto_rank,Block,0.2,0,1.0641928381861152,0.9111018631199257,0.14385642298357176
MC_NNM_CV,Block,0.2,0,1.0641928381861152,0.7297034040721357,0.31431280319843785
CovariancePCA,Block,0.2,0,1.0641928381861152,2.602936727755953,1.4459258081388526
DID,Block,0.2,0,1.0641928381861152,0.6285472516378626,0.4093671474906723
SDID,Block,0.2,0,1.0641928381861152,0.882896120647561,0.17036077582289416
SC,Block,0.2,0,1.0641928381861152,0.6554865797103583,0.38405281807043967
RobustSyntheticControl,Block,0.2,0,1.0641928381861152,0.8447256298783259,0.20622879654204834
DC_PR_auto_rank,Block,0.2,1,1.0641928381861152,1.1320328198171106,0.06374782764618729
MC_NNM_CV,Block,0.2,1,1.0641928381861152,1.2723001116814316,0.19555410074928622
CovariancePCA,Block,0.2,1,1.0641928381861152,3.54022840313651,2.326679410068877
DID,Block,0.2,1,1.0641928381861152,1.4194534766126252,0.33383107429292713
SDID,Block,0.2,1,1.0641928381861152,0.6838267089800356,0.3574221847371218
SC,Block,0.2,1,1.0641928381861152,1.6703803001460262,0.5696218206026826
RobustSyntheticControl,Block,0.2,1,1.0641928381861152,1.2750451933431473,0.19813359721197105
DC_PR_auto_rank,Block,0.2,2,1.0641928381861152,1.2921747906078498,0.21422992548072678
MC_NNM_CV,Block,0.2,2,1.0641928381861152,1.3840894492748084,0.30060022921592605
CovariancePCA,Block,0.2,2,1.0641928381861152,3.485819638573814,2.2755526193122004
DID,Block,0.2,2,1.0641928381861152,1.4441886265327297,0.3570741830910138
SDID,Block,0.2,2,1.0641928381861152,1.3704948592599748,0.28782567414749965
SC,Block,0.2,2,1.0641928381861152,1.3092873945438874,0.2303102854699986
RobustSyntheticControl,Block,0.2,2,1.0641928381861152,1.2918986852500915,0.21397047498655802
DC_PR_auto_rank,Staggered,0.2,0,1.0641928381861152,1.081863952497998,0.01660518063812826
MC_NNM_CV,Staggered,0.2,0,1.0641928381861152,1.0416812871339152,0.021153638931239477
CovariancePCA,Staggered,0.2,0,1.0641928381861152,1.554317373847924,0.46055988921820906
DID,Staggered,0.2,0,1.0641928381861152,0.8480680578616485,0.20308798609549458
SDID,Staggered,0.2,0,1.0641928381861152,0.8073219023937617,0.24137630566108897
DC_PR_auto_rank,Staggered,0.2,1,1.0641928381861152,0.9127543400480098,0.14230362459141124
MC_NNM_CV,Staggered,0.2,1,1.0641928381861152,1.7120622037735098,0.6087894433603486
CovariancePCA,Staggered,0.2,1,1.0641928381861152,3.8559039243435365,2.6233131684251974
DID,Staggered,0.2,1,1.0641928381861152,2.3315017470604493,1.190863970701423
SDID,Staggered,0.2,1,1.0641928381861152,0.8381636621610559,0.2123949418888397
DC_PR_auto_rank,Staggered,0.2,2,1.0641928381861152,1.4919520895847618,0.4019565214587888
MC_NNM_CV,Staggered,0.2,2,1.0641928381861152,1.3149760374089507,0.23565578551561012
CovariancePCA,Staggered,0.2,2,1.0641928381861152,2.311998149742557,1.1725368436826624
DID,Staggered,0.2,2,1.0641928381861152,1.5851670929570045,0.4895487322193169
SDID,Staggered,0.2,2,1.0641928381861152,1.18225097663808,0.11093679097971693
DC_PR_auto_rank,Adaptive,0.2,0,1.0641928381861152,0.8517597176274345,0.19961900976590538
MC_NNM_CV,Adaptive,0.2,0,1.0641928381861152,0.8434736001365374,0.2074053029954488
CovariancePCA,Adaptive,0.2,0,1.0641928381861152,1.0377859678865051,0.024813989863547478
DC_PR_auto_rank,Adaptive,0.2,1,1.0641928381861152,0.8120365213312073,0.23694607575512422
MC_NNM_CV,Adaptive,0.2,1,1.0641928381861152,0.8387315005602819,0.21186135588933808
CovariancePCA,Adaptive,0.2,1,1.0641928381861152,1.0392844487900814,0.023405898350612277
DC_PR_auto_rank,Adaptive,0.2,2,1.0641928381861152,1.1549737008517675,0.08530489908237457
MC_NNM_CV,Adaptive,0.2,2,1.0641928381861152,0.951794999213781,0.10561792462718786
CovariancePCA,Adaptive,0.2,2,1.0641928381861152,1.9966468636852668,0.8762077623905941
