method,pattern,treatment_level,mean_error,std_error
CovariancePCA,Adaptive,0.2,0.6958480001605754,0.02432823301375042
CovariancePCA,Block,0.2,1.520858225304521,0.46996355455776473
CovariancePCA,IID,0.2,0.05223113545505357,0.018077971512660586
CovariancePCA,Staggered,0.2,2.5759097507295587,2.022252307317498
DC_PR_auto_rank,Adaptive,0.2,0.11253653343459596,0.08672087974894271
DC_PR_auto_rank,Block,0.2,0.4467302302710264,0.22623582837710726
DC_PR_auto_rank,IID,0.2,0.3167199429956353,0.12473583124612413
DC_PR_auto_rank,Staggered,0.2,0.3954463172376932,0.2631530429359056
DID,Block,0.2,0.2415099619577257,0.3447865106484118
DID,Staggered,0.2,0.46728215891094466,0.6519453602254043
MC_NNM_CV,Adaptive,0.2,0.10244379298576707,0.06108104408142589
MC_NNM_CV,Block,0.2,0.1912330669989504,0.2924132817592307
MC_NNM_CV,IID,0.2,0.019539136096655575,0.0021864158097598756
MC_NNM_CV,Staggered,0.2,0.33317639741217236,0.49035546089864845
RobustSyntheticControl,Block,0.2,0.22681260348190904,0.20778287663071215
SC,Block,0.2,0.2997993600807096,0.35628753016847253
SDID,Block,0.2,0.10496352286043785,0.12005775276482293
SDID,Staggered,0.2,0.37432715619675205,0.19203832894773426
