method,pattern,treatment_level,trial,tau_star,tau_hat,error
DC_PR_auto_rank,IID,0.2,0,0.7510840972264607,0.5272055977022992,0.2980738113759577
MC_NNM_CV,IID,0.2,0,0.7510840972264607,0.7676474089128353,0.02205253945269002
CovariancePCA,IID,0.2,0,0.7510840972264607,0.6966885881488531,0.07242266116201193
DC_PR_auto_rank,IID,0.2,1,0.7510840972264607,0.9030710999708265,0.20235683767717935
MC_NNM_CV,IID,0.2,1,0.7510840972264607,0.7375073219764096,0.018076238466752718
CovariancePCA,IID,0.2,1,0.7510840972264607,0.722882046374,0.037548459562122105
DC_PR_auto_rank,IID,0.2,2,0.7510840972264607,1.088868532333412,0.44972917993376876
MC_NNM_CV,IID,0.2,2,0.7510840972264607,0.7649706134772595,0.018488630370523982
CovariancePCA,IID,0.2,2,0.7510840972264607,0.7861764629575081,0.04672228564102667
DC_PR_auto_rank,Block,0.2,0,0.7510840972264607,1.0840958516530665,0.4433747907275939
MC_NNM_CV,Block,0.2,0,0.7510840972264607,0.7822508924276713,0.041495746370214276
CovariancePCA,Block,0.2,0,0.7510840972264607,1.5685432024107426,1.0883722717641409
DID,Block,0.2,0,0.7510840972264607,0.717696599430507,0.044452409416261426
SDID,Block,0.2,0,0.7510840972264607,0.7798392812913222,0.0382849060059268
SC,Block,0.2,0,0.7510840972264607,0.7820032309082006,0.04116600763604949
RobustSyntheticControl,Block,0.2,0,0.7510840972264607,1.0975679783195076,0.46131169914595843
DC_PR_auto_rank,Block,0.2,1,0.7510840972264607,1.2577842928407459,0.6746251151973319
MC_NNM_CV,Block,0.2,1,0.7510840972264607,1.1477982261267201,0.5281886946684285
CovariancePCA,Block,0.2,1,0.7510840972264607,2.269004077228456,2.020972066386761
DID,Block,0.2,1,0.7510840972264607,1.2314988331780548,0.6396284220710151
SDID,Block,0.2,1,0.7510840972264607,0.9340190817629884,0.2435612539422075
SC,Block,0.2,1,0.7510840972264607,1.281495448463529,0.706194357190794
RobustSyntheticControl,Block,0.2,1,0.7510840972264607,0.8003671397425894,0.06561587803298846
DC_PR_auto_rank,Block,0.2,2,0.7510840972264607,0.9179680623062182,0.22219078488815341
MC_NNM_CV,Block,0.2,2,0.7510840972264607,0.7480686748676688,0.004014759958208441
CovariancePCA,Block,0.2,2,0.7510840972264607,1.8425822935270337,1.4532303377626612
DID,Block,0.2,2,0.7510840972264607,0.7814647387235589,0.04044905438590062
SDID,Block,0.2,2,0.7510840972264607,0.726264967399827,0.03304440863317925
SC,Block,0.2,2,0.7510840972264607,0.6368909869993976,0.15203771541528532
RobustSyntheticControl,Block,0.2,2,0.7510840972264607,0.6357850022582577,0.1535102332667802
DC_PR_auto_rank,Staggered,0.2,0,0.7510840972264607,0.9224236354117183,0.22812297426874784
MC_NNM_CV,Staggered,0.2,0,0.7510840972264607,0.6853112457722754,0.08757055527745254
CovariancePCA,Staggered,0.2,0,0.7510840972264607,4.288483645968656,4.709724998578458
DID,Staggered,0.2,0,0.7510840972264607,0.6563134999068156,0.1261784102068009
SDID,Staggered,0.2,0,0.7510840972264607,0.4447813322029034,0.40781420636470145
DC_PR_auto_rank,Staggered,0.2,1,0.7510840972264607,1.2759196429933675,0.6987706805469249
MC_NNM_CV,Staggered,0.2,1,0.7510840972264607,1.4254084971724037,0.8978014611626455
CovariancePCA,Staggered,0.2,1,0.7510840972264607,2.5013804361548444,2.3303600028169
DID,Staggered,0.2,1,0.7510840972264607,1.6666653343589743,1.21901294477342
SDID,Staggered,0.2,1,0.7510840972264607,0.8770767227957404,0.16774769434545947
DC_PR_auto_rank,Staggered,0.2,2,0.7510840972264607,0.9459493338263005,0.2594452968974067
MC_NNM_CV,Staggered,0.2,2,0.7510840972264607,0.740450867624131,0.014157175796419057
CovariancePCA,Staggered,0.2,2,0.7510840972264607,1.2675627585465266,0.6876442507933188
DID,Staggered,0.2,2,0.7510840972264607,0.7936368582012774,0.05665512175261311
SDID,Staggered,0.2,2,0.7510840972264607,1.1622422291717813,0.5474195678800953
DC_PR_auto_rank,Adaptive,0.2,0,0.7510840972264607,0.8919748336436644,0.1875831706961616
MC_NNM_CV,Adaptive,0.2,0,0.7510840972264607,0.6908265810047617,0.08022738924204742
CovariancePCA,Adaptive,0.2,0,0.7510840972264607,1.280173016889044,0.7044336601139042
DC_PR_auto_rank,Adaptive,0.2,1,0.7510840972264607,0.7643016374272851,0.017597949749745646
MC_NNM_CV,Adaptive,0.2,1,0.7510840972264607,0.7093386183923652,0.05558029918120975
CovariancePCA,Adaptive,0.2,1,0.7510840972264607,1.2878984111173044,0.7147193182136937
DC_PR_auto_rank,Adaptive,0.2,2,0.7510840972264607,0.8505490224675896,0.13242847985788064
MC_NNM_CV,Adaptive,0.2,2,0.7510840972264607,0.6222553809687474,0.17152369053404404
CovariancePCA,Adaptive,0.2,2,0.7510840972264607,1.2531019646953654,0.6683910221541282
