method,pattern,treatment_level,mean_error,std_error
CovariancePCA,Block,0.05,0.5034279940552164,0.2865702432233588
CovariancePCA,Block,0.1,0.25896258576430403,0.12362677433150092
CovariancePCA,Block,0.2,0.13279342709238579,0.06752346128112567
CovariancePCA,Staggered,0.05,0.6143001013654523,1.5035993561161158
CovariancePCA,Staggered,0.1,0.3025391342725224,0.7299611794877917
CovariancePCA,Staggered,0.2,0.1087147583090657,0.06847319164487344
DC_PR_auto_rank,Block,0.05,0.2260821100371762,0.15726693339925302
DC_PR_auto_rank,Block,0.1,0.11549375658393013,0.08475548506253865
DC_PR_auto_rank,Block,0.2,0.045923836528245464,0.03785567760580034
DC_PR_auto_rank,Staggered,0.05,0.246201053206251,0.18596236040268707
DC_PR_auto_rank,Staggered,0.1,0.11242812925732837,0.08481536512555522
DC_PR_auto_rank,Staggered,0.2,0.05290438171875376,0.03852988685477584
DID,Block,0.05,0.16856905781755194,0.13948402655920164
DID,Block,0.1,0.08812733442287048,0.07592626972149875
DID,Block,0.2,0.04425053675687382,0.03347120154384492
DID,Staggered,0.05,0.21525030123356698,0.16920656914440185
DID,Staggered,0.1,0.10123193636718934,0.08072486941939842
DID,Staggered,0.2,0.047239545520324715,0.035584143849603976
MC_NNM_CV,Block,0.05,0.12992385019217825,0.10245387498054352
MC_NNM_CV,Block,0.1,0.06648272932260793,0.05797121085462475
MC_NNM_CV,Block,0.2,0.03554445090710351,0.027851288430048162
MC_NNM_CV,Staggered,0.05,0.14045864620408036,0.12415176214442311
MC_NNM_CV,Staggered,0.1,0.06741128350368025,0.057654939397893935
MC_NNM_CV,Staggered,0.2,0.031187202501372496,0.026112916162046158
RobustSyntheticControl,Block,0.05,0.20988728357025177,0.18182825435564284
RobustSyntheticControl,Block,0.1,0.11836274941705062,0.10005369108491734
RobustSyntheticControl,Block,0.2,0.05622949396653253,0.048103333127823514
RobustSyntheticControl,Staggered,0.05,0.21957978364299105,0.1744504996037266
RobustSyntheticControl,Staggered,0.1,0.11933269284095722,0.09824296453152026
RobustSyntheticControl,Staggered,0.2,0.052154782078184476,0.04049279579905061
SC,Block,0.05,0.11282286675443165,0.09645886755397484
SC,Block,0.1,0.05328751639509016,0.048317285300327695
SC,Block,0.2,0.030388285096767276,0.026123375603931916
SC,Staggered,0.05,0.16981073923855342,0.1284680568577975
SC,Staggered,0.1,0.1170694981086467,0.09294785316068832
SC,Staggered,0.2,0.12479188574112801,0.09611017303207874
SDID,Block,0.05,0.07102427020108094,0.05972821766985424
SDID,Block,0.1,0.037551040031235494,0.0327027457120532
SDID,Block,0.2,0.021043647793118247,0.019708562899889547
SDID,Staggered,0.05,0.2520336026681436,0.22751771988126235
SDID,Staggered,0.1,0.24653534616316794,0.28212856930437363
SDID,Staggered,0.2,0.23831463673835301,0.31376199910368485
