method,pattern,treatment_level,trial,tau_star,tau_hat,error
DCPR,Block,0.2,0,1.9810840277693955,1.9692460613080025,0.0059754994212547
MC_NNM_CV,Block,0.2,0,1.9810840277693955,1.9583026510569783,0.0114994499945909
CovPCA,Block,0.2,0,1.9810840277693955,2.2920448567206284,0.1569649871446189
OLS_DID,Block,0.2,0,1.9810840277693955,1.9646020339173995,0.0083196843853986
SDID,Block,0.2,0,1.9810840277693955,1.976580478271576,0.0022732753556596
SC,Block,0.2,0,1.9810840277693955,2.005069326528956,0.0121071587188389
RSC,Block,0.2,0,1.9810840277693955,2.1407755660484016,0.0806081599975399
DCPR,Block,0.2,1,1.9810840277693955,1.9890303158215152,0.0040110807723118
MC_NNM_CV,Block,0.2,1,1.9810840277693955,1.951049942419944,0.0151604298093646
CovPCA,Block,0.2,1,1.9810840277693955,2.208924657339098,0.1150080594139362
OLS_DID,Block,0.2,1,1.9810840277693955,1.9545982952696035,0.0133693130268752
SDID,Block,0.2,1,1.9810840277693955,1.8811564638012293,0.0504408508510764
SC,Block,0.2,1,1.9810840277693955,1.8703437553537643,0.0558988265330264
RSC,Block,0.2,1,1.9810840277693955,1.856619555252732,0.0628264479305325
DCPR,Block,0.2,2,1.9810840277693955,2.07026608197039,0.045016795325643
MC_NNM_CV,Block,0.2,2,1.9810840277693955,2.013691590902092,0.0164594548618973
CovPCA,Block,0.2,2,1.9810840277693955,2.349163573372192,0.185797038612863
OLS_DID,Block,0.2,2,1.9810840277693955,2.0558874410565884,0.0377588291251926
SDID,Block,0.2,2,1.9810840277693955,1.93073412588362,0.0254153287695055
SC,Block,0.2,2,1.9810840277693955,1.939247854897817,0.0211178184696607
RSC,Block,0.2,2,1.9810840277693955,1.432678678209354,0.2768208424644759
DCPR,Block,0.2,3,1.9810840277693955,1.8669567382883945,0.0576085051826411
MC_NNM_CV,Block,0.2,3,1.9810840277693955,1.87252795875396,0.0547962971250967
CovPCA,Block,0.2,3,1.9810840277693955,2.165832071046761,0.0932560359316928
OLS_DID,Block,0.2,3,1.9810840277693955,1.8154819082230964,0.083591668614258
SDID,Block,0.2,3,1.9810840277693955,1.9797484601514803,0.0006741600049235
SC,Block,0.2,3,1.9810840277693955,1.971529330290713,0.0048229642684264
RSC,Block,0.2,3,1.9810840277693955,2.0502606559870573,0.0349185734920853
DCPR,Block,0.2,4,1.9810840277693955,1.8674282295469644,0.0573705085848386
MC_NNM_CV,Block,0.2,4,1.9810840277693955,1.8764606971949491,0.0528111524336737
CovPCA,Block,0.2,4,1.9810840277693955,2.23218329197162,0.1267484168679864
OLS_DID,Block,0.2,4,1.9810840277693955,1.8825150316495527,0.0497550809244704
SDID,Block,0.2,4,1.9810840277693955,1.8549273564041235,0.0636806261606773
SC,Block,0.2,4,1.9810840277693955,1.9038073206572093,0.0390072839056684
RSC,Block,0.2,4,1.9810840277693955,1.871891714733143,0.0551174566579073
DCPR,Block,0.2,5,1.9810840277693955,1.892224832416643,0.0448538245259608
MC_NNM_CV,Block,0.2,5,1.9810840277693955,1.9607727418794896,0.0102526120069602
CovPCA,Block,0.2,5,1.9810840277693955,2.304639920002705,0.1633226494676339
OLS_DID,Block,0.2,5,1.9810840277693955,1.943384657229255,0.0190296676020289
SDID,Block,0.2,5,1.9810840277693955,1.9725662992265705,0.0042995291584958
SC,Block,0.2,5,1.9810840277693955,1.977350395745403,0.0018846409196464
RSC,Block,0.2,5,1.9810840277693955,2.0903817101748245,0.0551706443913402
DCPR,Block,0.2,6,1.9810840277693955,2.079836597515269,0.049847744144939
MC_NNM_CV,Block,0.2,6,1.9810840277693955,2.053023631868773,0.0363132522856075
CovPCA,Block,0.2,6,1.9810840277693955,2.21946019923124,0.1203261285843816
OLS_DID,Block,0.2,6,1.9810840277693955,2.0326204112393613,0.0260142339989452
SDID,Block,0.2,6,1.9810840277693955,2.076937373929268,0.0483842910327223
SC,Block,0.2,6,1.9810840277693955,2.068526907734048,0.0441389051342304
RSC,Block,0.2,6,1.9810840277693955,1.95915755893422,0.0110679146002016
DCPR,Block,0.2,7,1.9810840277693955,2.113070311820288,0.0666232639306583
MC_NNM_CV,Block,0.2,7,1.9810840277693955,2.088281371447032,0.0541104477018755
CovPCA,Block,0.2,7,1.9810840277693955,2.450938092803053,0.237170184831933
OLS_DID,Block,0.2,7,1.9810840277693955,2.124188161079604,0.0722352668055867
SDID,Block,0.2,7,1.9810840277693955,1.9958249262697287,0.0074408244646396
SC,Block,0.2,7,1.9810840277693955,1.998421066981648,0.0087512891776594
RSC,Block,0.2,7,1.9810840277693955,2.008563841510042,0.01387109953715
DCPR,Block,0.2,8,1.9810840277693955,2.124729625847485,0.0725085842218553
MC_NNM_CV,Block,0.2,8,1.9810840277693955,2.1243741605856594,0.0723291545475745
CovPCA,Block,0.2,8,1.9810840277693955,2.649606301707561,0.3374527604923906
OLS_DID,Block,0.2,8,1.9810840277693955,2.145665475393603,0.0830764598155477
SDID,Block,0.2,8,1.9810840277693955,2.0663609484104137,0.0430455848644825
SC,Block,0.2,8,1.9810840277693955,2.0603163582036443,0.0399944319996667
RSC,Block,0.2,8,1.9810840277693955,2.2065051043052195,0.1137867315954474
DCPR,Block,0.2,9,1.9810840277693955,2.113769454217355,0.0669761729376804
MC_NNM_CV,Block,0.2,9,1.9810840277693955,2.074891270742172,0.047351471042043
CovPCA,Block,0.2,9,1.9810840277693955,2.3168144491999456,0.1694680370567454
OLS_DID,Block,0.2,9,1.9810840277693955,2.0574342543650417,0.0385396204933382
SDID,Block,0.2,9,1.9810840277693955,2.0851081343995395,0.0525086796784032
SC,Block,0.2,9,1.9810840277693955,2.082306236980928,0.0510943542992995
RSC,Block,0.2,9,1.9810840277693955,2.1282619338164186,0.0742916019633647
DCPR,Block,0.2,10,1.9810840277693955,1.8126835014477465,0.0850042320068876
MC_NNM_CV,Block,0.2,10,1.9810840277693955,1.8261994705810467,0.078181720218471
CovPCA,Block,0.2,10,1.9810840277693955,2.177512531617088,0.0991520304511575
OLS_DID,Block,0.2,10,1.9810840277693955,1.8186849787067996,0.0819748414434744
SDID,Block,0.2,10,1.9810840277693955,1.9771470933043755,0.0019872627358733
SC,Block,0.2,10,1.9810840277693955,1.8573801770037432,0.062442505735073
RSC,Block,0.2,10,1.9810840277693955,1.958610993439603,0.0113438067314569
DCPR,Block,0.2,11,1.9810840277693955,2.05343880810352,0.0365228225153037
MC_NNM_CV,Block,0.2,11,1.9810840277693955,1.99657404043916,0.0078189579304244
CovPCA,Block,0.2,11,1.9810840277693955,2.1910688382324515,0.1059949035576693
OLS_DID,Block,0.2,11,1.9810840277693955,2.0172392201972245,0.0182502064127679
SDID,Block,0.2,11,1.9810840277693955,1.9493837702012693,0.0160014704695886
SC,Block,0.2,11,1.9810840277693955,2.004273545427218,0.0117054689921118
RSC,Block,0.2,11,1.9810840277693955,2.0608081682039123,0.0402426849729754
DCPR,Block,0.2,12,1.9810840277693955,2.137309141199429,0.0788583983517023
