method,pattern,treatment_level,mean_error,std_error
CovariancePCA,Adaptive,0.2,0.03722274354661521,0.02074028617604701
CovariancePCA,Block,0.2,0.32719232089079275,0.16489559588049227
CovariancePCA,IID,0.2,0.04143644116605361,0.031340779273376626
CovariancePCA,Staggered,0.2,0.9638341881972856,1.5968337052531876
DC_PR_auto_rank,Adaptive,0.2,0.23553737610447234,0.10725770969351207
DC_PR_auto_rank,Block,0.2,0.22148747109967068,0.16887590017103116
DC_PR_auto_rank,IID,0.2,0.12145568245538224,0.024350624077671447
DC_PR_auto_rank,Staggered,0.2,0.36352556004689035,0.22811616134694776
DID,Block,0.2,0.30483532249619094,0.33233428744899124
DID,Staggered,0.2,0.5062217790415332,0.4606488532334743
MC_NNM_CV,Adaptive,0.2,0.017602682858655922,0.017296511967857656
MC_NNM_CV,Block,0.2,0.20679617993142652,0.2697711332075135
MC_NNM_CV,IID,0.2,0.013790905272612404,0.009497279188537967
MC_NNM_CV,Staggered,0.2,0.32648816760941646,0.3213351008389392
RobustSyntheticControl,Block,0.2,0.19075147642091772,0.19944290341570337
SC,Block,0.2,0.09333533958955215,0.11447001256195155
SDID,Block,0.2,0.1424831759282156,0.14931764017477112
SDID,Staggered,0.2,0.41004415378116504,0.2463719624835824
