method,pattern,treatment_level,trial,tau_star,tau_hat,error
DC_PR_auto_rank,IID,0.2,0,26.22900286074038,29.2242192819055,0.11419482612693474
MC_NNM_CV,IID,0.2,0,26.22900286074038,25.953131460260984,0.010517799778516196
CovariancePCA,IID,0.2,0,26.22900286074038,28.423278142963706,0.08365835689116959
DC_PR_auto_rank,IID,0.2,1,26.22900286074038,20.913724557991912,0.20264888951247118
MC_NNM_CV,IID,0.2,1,26.22900286074038,25.68658260631864,0.02068017062263676
CovariancePCA,IID,0.2,1,26.22900286074038,25.999908503085347,0.008734390661794524
DC_PR_auto_rank,IID,0.2,2,26.22900286074038,29.258821782101926,0.11551407186342506
MC_NNM_CV,IID,0.2,2,26.22900286074038,26.89162994569034,0.02526314433179547
CovariancePCA,IID,0.2,2,26.22900286074038,29.352460763084714,0.11908412679383752
DC_PR_auto_rank,Block,0.2,0,26.22900286074038,18.22930228685924,0.30499446038244576
MC_NNM_CV,Block,0.2,0,26.22900286074038,16.472030868962573,0.3719917239546327
CovariancePCA,Block,0.2,0,26.22900286074038,35.866590055715854,0.36744009088508023
DID,Block,0.2,0,26.22900286074038,13.993996363720578,0.4664686096524539
SDID,Block,0.2,0,26.22900286074038,20.15351546275537,0.2316324196631513
SC,Block,0.2,0,26.22900286074038,35.56617165120438,0.3559864185473818
RobustSyntheticControl,Block,0.2,0,26.22900286074038,22.498885223646816,0.14221347478965016
DC_PR_auto_rank,Block,0.2,1,26.22900286074038,30.50195101184558,0.1629092868604989
MC_NNM_CV,Block,0.2,1,26.22900286074038,27.930420915984257,0.06486781309519635
CovariancePCA,Block,0.2,1,26.22900286074038,21.784383860704676,0.16945436407300174
DID,Block,0.2,1,26.22900286074038,30.350823203674143,0.15714742816637192
SDID,Block,0.2,1,26.22900286074038,27.749460583896436,0.057968567513936274
SC,Block,0.2,1,26.22900286074038,26.087753617381846,0.005385231154553558
RobustSyntheticControl,Block,0.2,1,26.22900286074038,30.70362349760734,0.17059819851423247
DC_PR_auto_rank,Block,0.2,2,26.22900286074038,32.720779038574825,0.24750373517063237
MC_NNM_CV,Block,0.2,2,26.22900286074038,29.286473566170294,0.11656831644203836
CovariancePCA,Block,0.2,2,26.22900286074038,24.329088273476664,0.07243563917969262
DID,Block,0.2,2,26.22900286074038,32.044447943710935,0.22171811539489075
SDID,Block,0.2,2,26.22900286074038,26.78275935501368,0.021112373093761985
SC,Block,0.2,2,26.22900286074038,26.585088775251844,0.013576037045786981
RobustSyntheticControl,Block,0.2,2,26.22900286074038,25.67887959173775,0.020973853711612298
DC_PR_auto_rank,Staggered,0.2,0,26.22900286074038,31.872772973056108,0.21517288103862056
MC_NNM_CV,Staggered,0.2,0,26.22900286074038,26.03403855992924,0.007433157175142295
CovariancePCA,Staggered,0.2,0,26.22900286074038,27.748400443007494,0.057928148863842295
DID,Staggered,0.2,0,26.22900286074038,33.06808419943388,0.2607449995337129
SDID,Staggered,0.2,0,26.22900286074038,22.518490519342638,0.14146600849061033
DC_PR_auto_rank,Staggered,0.2,1,26.22900286074038,23.5154747476777,0.10345525247260899
MC_NNM_CV,Staggered,0.2,1,26.22900286074038,23.338078294937763,0.11021862253596222
CovariancePCA,Staggered,0.2,1,26.22900286074038,27.86338972038659,0.062312199526752224
DID,Staggered,0.2,1,26.22900286074038,20.132332352185824,0.2324400413132008
SDID,Staggered,0.2,1,26.22900286074038,23.20019093053727,0.11547567958584655
DC_PR_auto_rank,Staggered,0.2,2,26.22900286074038,30.9068789951989,0.1783474636567436
MC_NNM_CV,Staggered,0.2,2,26.22900286074038,19.679695009791775,0.24969717246672846
CovariancePCA,Staggered,0.2,2,26.22900286074038,25.872292397941276,0.013599848408001375
DID,Staggered,0.2,2,26.22900286074038,18.525267201142285,0.2937105806309191
SDID,Staggered,0.2,2,26.22900286074038,23.14289418249701,0.11766016019094128
DC_PR_auto_rank,Adaptive,0.2,0,26.22900286074038,27.10100871939013,0.033245863873649965
MC_NNM_CV,Adaptive,0.2,0,26.22900286074038,27.065883115043327,0.03190667440719187
CovariancePCA,Adaptive,0.2,0,26.22900286074038,21.789852007061654,0.1692458869766359
DC_PR_auto_rank,Adaptive,0.2,1,26.22900286074038,40.81149035588738,0.5559680469963307
MC_NNM_CV,Adaptive,0.2,1,26.22900286074038,27.065883115043327,0.03190667440719187
CovariancePCA,Adaptive,0.2,1,26.22900286074038,21.789852007061658,0.16924588697663576
DC_PR_auto_rank,Adaptive,0.2,2,26.22900286074038,32.520469362038085,0.239866781619624
MC_NNM_CV,Adaptive,0.2,2,26.22900286074038,26.25395042501543,0.000951144212668127
CovariancePCA,Adaptive,0.2,2,26.22900286074038,19.550044392630127,0.25464019747801125
