PRODUCT_ID,DAY,SALES_VALUE,RETAIL_DISC,PROMO
818980,14,0.79,0.0,0
818980,20,1.58,0.0,0
818980,70,0.79,0.0,0
818980,296,0.79,0.0,0
818980,391,0.89,0.0,0
818980,434,0.67,-0.22,1
818980,467,0.89,0.0,0
818980,478,1.0,-0.78,1
818981,172,2.5,-1.09,1
818981,178,2.5,-1.09,1
818981,198,2.0,-1.59,1
818981,222,3.99,0.0,0
818981,264,3.79,0.0,0
818981,367,2.19,-1.5,1
818981,443,2.5,-1.19,1
818981,483,3.69,0.0,0
818981,572,3.69,0.0,0
819063,16,1.75,-0.44,1
819063,47,3.0,-1.38,1
819063,113,1.54,-0.85,1
819063,126,1.58,0.0,0
819063,135,1.58,0.0,0
819063,138,1.58,0.0,0
819063,181,1.68,0.0,0
819063,223,1.85,0.0,0
819063,239,2.84,-0.36,1
819063,252,1.85,0.0,0
819063,284,1.85,0.0,0
819063,308,1.67,-0.18,1
819063,437,3.34,0.0,0
819063,475,1.67,0.0,0
819063,522,1.67,0.0,0
819063,629,1.67,0.0,0
819063,656,1.67,0.0,0
819115,587,3.34,-0.64,1
819210,395,2.19,0.0,0
819212,47,0.74,0.0,0
819227,354,0.59,0.0,0
819227,513,0.5,0.0,0
819227,522,2.0,0.0,0
819227,535,0.5,0.0,0
819227,557,1.5,0.0,0
819227,565,1.0,0.0,0
819227,578,0.5,0.0,0
819227,585,1.0,0.0,0
819227,609,1.0,0.0,0
819227,615,1.0,0.0,0
819227,623,1.0,0.0,0
819227,634,0.5,0.0,0
819227,641,0.5,0.0,0
819227,656,0.5,0.0,0
819227,690,0.5,0.0,0
819227,711,0.5,0.0,0
819255,159,2.5,-0.99,1
819255,218,4.0,-2.98,1
819255,284,2.0,-1.49,1
819255,340,4.0,-2.98,1
819255,429,2.0,-1.49,1
819304,326,1.5,-0.35,1
819304,360,1.66,0.0,0
819304,437,3.33,0.0,0
819304,493,1.67,0.0,0
819304,606,3.33,0.0,0
819304,673,1.0,-0.67,1
819304,676,1.0,-0.67,1
819308,25,7.52,0.0,0
819308,284,6.67,-2.48,1
819308,344,3.69,0.0,0
819308,452,5.87,-4.02,1
819308,475,5.12,-3.51,1
819308,521,2.07,-1.77,1
819308,522,1.77,-1.51,1
819308,593,2.85,-1.06,1
819308,656,5.38,-2.0,1
819326,294,2.0,-0.89,1
819330,185,1.67,-0.52,1
819330,338,1.67,-0.62,1
819330,574,1.67,-0.62,1
819395,581,6.69,0.0,0
819487,59,3.19,0.0,0
819487,73,3.19,0.0,0
819518,241,4.0,-2.76,1
819518,245,1.0,-0.69,1
819518,246,4.0,-2.76,1
819518,277,2.0,-1.38,1
819518,335,1.79,0.0,0
819518,602,2.0,-1.58,1
819518,668,1.79,0.0,0
819549,289,7.47,0.0,0
819573,110,1.79,0.0,0
819578,660,5.0,-1.79,1
819591,245,2.67,-1.32,1
819591,274,2.67,-1.32,1
819593,279,13.99,0.0,0
819594,460,4.0,-1.98,1
819594,463,2.99,0.0,0
819594,464,5.98,0.0,0
819594,466,2.99,0.0,0
819594,468,2.99,-2.99,1
819594,473,2.99,-2.99,1
819594,474,2.99,-2.99,1
819594,481,3.0,-2.98,1
819656,86,5.17,0.0,0
819686,116,6.49,0.0,0
819690,453,2.29,0.0,0
819748,25,1.99,0.0,0
819748,124,1.99,0.0,0
819765,171,1.25,-0.64,1
819765,189,1.67,-0.22,1
819765,238,1.74,-0.15,1
819765,242,1.5,-0.39,1
819765,271,1.5,-0.39,1
819765,297,1.5,-0.39,1
819765,326,1.78,0.0,0
819765,355,1.67,-0.11,1
819765,469,1.5,-0.28,1
819765,497,1.25,-0.53,1
819765,507,1.65,-0.13,1
819765,522,1.67,-0.11,1
819765,574,1.67,-0.11,1
819765,596,1.67,-0.11,1
819840,159,0.17,0.0,0
819840,235,0.15,0.0,0
819840,237,1.02,0.0,0
819840,257,0.12,0.0,0
819840,284,0.05,0.0,0
819840,319,0.17,0.0,0
819840,355,0.47,0.0,0
819840,361,0.22,0.0,0
819840,412,0.39,0.0,0
819840,452,1.05,0.0,0
819840,457,0.66,0.0,0
819840,472,0.84,0.0,0
819840,480,0.75,0.0,0
819840,506,1.11,0.0,0
819840,539,1.02,0.0,0
819840,550,2.39,0.0,0
819840,566,0.18,0.0,0
819840,582,0.18,0.0,0
819840,603,2.18,0.0,0
819840,621,0.75,0.0,0
819840,652,0.87,0.0,0
819840,670,0.15,0.0,0
819845,346,7.99,0.0,0
819849,181,1.4,-0.69,1
819849,390,1.4,-0.69,1
819890,93,0.4,-0.29,1
819892,337,9.95,0.0,0
819927,46,1.75,-0.64,1
819927,73,1.75,-0.64,1
819927,79,1.67,-0.72,1
819927,108,1.67,-0.72,1
819927,110,1.67,-0.72,1
819927,115,1.67,-0.72,1
819927,124,3.34,-1.44,1
819927,129,1.67,-0.72,1
819927,147,1.99,-0.4,1
819927,157,1.99,-0.4,1
819927,213,1.5,-0.89,1
819927,222,2.39,0.0,0
819927,229,2.39,0.0,0
819927,234,1.5,-0.89,1
819927,241,1.5,-0.89,1
819927,289,1.67,-0.72,1
819927,293,2.0,-0.39,1
819927,305,2.0,-0.39,1
819927,313,2.0,-0.39,1
819927,325,2.0,-0.39,1
819927,394,2.0,-0.39,1
819927,591,2.29,-0.1,1
819927,667,4.0,-0.78,1
819933,135,5.98,-1.0,1
819933,648,5.78,0.0,0
819969,586,3.49,0.0,0
819978,15,1.08,-0.27,1
819978,78,2.03,-0.51,1
819978,123,1.04,-0.26,1
819978,180,10.28,0.0,0
819978,185,1.7,0.0,0
819978,214,2.11,-0.53,1
819978,261,2.74,0.0,0
819978,324,1.9,0.0,0
819978,379,4.07,-1.02,1
819978,395,4.11,-1.03,1
819978,436,3.99,-1.0,1
819978,574,1.0,-0.25,1
819978,584,0.56,-0.14,1
820011,309,4.39,0.0,0
820011,399,4.39,0.0,0
820122,32,3.98,0.0,0
820162,79,1.79,0.0,0
820162,305,1.79,0.0,0
820165,81,1.0,0.0,0
820165,100,1.78,0.0,0
820165,106,1.78,0.0,0
820165,240,0.5,0.0,0
820165,245,1.5,0.0,0
820165,265,4.25,-0.25,1
820165,266,0.75,-0.25,1
820165,282,1.0,0.0,0
820165,295,1.25,-0.08,1
820165,296,1.92,-0.08,1
820165,313,1.0,0.0,0
820165,315,2.0,-0.5,1
820165,317,1.0,-0.25,1
820165,330,1.0,-0.25,1
820165,336,1.0,0.0,0
820165,337,1.0,0.0,0
820165,338,1.0,0.0,0
820165,347,1.0,0.0,0
820165,359,1.0,0.0,0
820165,379,1.67,0.0,0
820165,391,1.0,0.0,0
820165,392,0.34,0.0,0
820165,393,1.0,0.0,0
820165,406,1.0,0.0,0
820165,412,2.0,0.0,0
820165,414,1.0,0.0,0
820165,426,0.67,0.0,0
820165,430,1.0,0.0,0
820165,435,1.0,0.0,0
820165,437,1.0,0.0,0
820165,445,2.0,0.0,0
820165,544,1.0,0.0,0
820165,609,1.0,0.0,0
820165,615,1.0,-0.5,1
820165,650,4.0,-2.0,1
820165,655,2.8,0.0,0
820165,665,1.0,-0.6,1
820165,668,3.0,-1.7999999999999998,1
820165,673,2.0,0.0,0
820165,697,2.37,0.0,0
820165,698,0.79,0.0,0
820165,703,2.0,0.0,0
820165,704,2.0,0.0,0
820165,708,1.0,-0.34,1
820198,327,4.49,0.0,0
820222,432,2.49,0.0,0
820291,264,2.03,0.0,0
820291,607,1.99,0.0,0
820291,654,1.99,0.0,0
820291,664,1.99,0.0,0
820291,670,1.99,0.0,0
820291,711,1.99,0.0,0
820296,192,5.99,0.0,0
820301,172,4.59,-9.18,1
820301,198,9.18,0.0,0
820301,231,4.59,0.0,0
820301,236,4.59,0.0,0
820301,240,4.59,0.0,0
820301,274,4.59,0.0,0
820301,306,5.98,-3.2,1
820301,331,4.59,0.0,0
820301,338,3.0,-1.59,1
820301,353,3.0,-1.59,1
820301,359,3.0,-1.59,1
820301,367,4.59,0.0,0
820301,374,4.59,0.0,0
820301,388,4.59,0.0,0
820301,402,4.59,0.0,0
820301,419,4.59,0.0,0
820301,424,4.59,0.0,0
820301,436,3.5,-1.09,1
820301,474,2.5,-2.09,1
820301,521,4.7,-4.48,1
820301,566,3.99,-0.6,1
820301,584,3.99,-0.6,1
820301,591,3.99,-0.6,1
820301,655,4.59,0.0,0
820301,672,3.99,-0.6,1
820301,703,3.99,-0.6,1
820321,83,2.99,-2.0,1
820321,127,2.79,-2.2,1
820321,299,2.99,0.0,0
820333,623,2.79,0.0,0
820347,117,2.99,-0.8,1
820347,146,3.89,0.0,0
820347,353,3.89,0.0,0
820347,384,3.89,0.0,0
820347,629,3.89,0.0,0
820347,635,3.89,0.0,0
820347,648,3.89,0.0,0
820352,452,1.79,-0.88,1
820352,557,2.67,0.0,0
820352,560,2.88,0.0,0
820352,635,2.5,-0.38,1
820361,236,1.38,-0.4,1
820378,309,3.69,0.0,0
820429,56,2.79,-0.5,1
820429,392,1.99,-1.2,1
820491,396,4.99,0.0,0
820518,436,5.0,-4.98,1
820518,437,5.0,-4.98,1
820518,460,2.99,-2.0,1
820518,461,2.99,-2.0,1
820518,503,2.5,-0.99,1
820518,506,5.0,-1.98,1
820518,524,2.99,-0.5,1
820521,319,1.29,0.0,0
820521,322,1.29,0.0,0
820560,59,0.59,-0.2,1
820560,94,0.59,-0.2,1
820560,146,1.77,-0.6,1
820560,244,0.6,-0.19,1
820560,281,0.6,-0.19,1
820560,311,0.5,-0.29,1
820560,494,0.6,-0.19,1
820560,509,0.5,-0.29,1
820560,615,1.2,-0.38,1
820560,651,0.5,-0.29,1
820560,658,0.6,-0.19,1
820560,659,0.6,-0.19,1
820560,697,0.5,-0.29,1
820580,342,9.99,0.0,0
820580,545,8.99,0.0,0
820580,547,8.99,0.0,0
820580,548,8.99,0.0,0
820580,552,8.99,0.0,0
820580,555,8.99,0.0,0
820580,558,8.99,0.0,0
820580,563,8.99,0.0,0
820580,566,8.99,0.0,0
820580,576,8.99,0.0,0
820612,336,3.34,-0.81,1
820667,232,2.89,0.0,0
820667,575,2.49,-0.4,1
820667,601,2.49,-0.4,1
820701,374,1.49,0.0,0
820701,692,1.29,-0.2,1
820752,162,4.99,-0.4,1
820752,259,4.5,-1.29,1
820752,284,4.5,-1.29,1
820752,306,5.79,0.0,0
820752,430,9.0,-2.58,1
820801,75,3.29,0.0,0
820818,417,0.89,0.0,0
820919,408,3.99,0.0,0
820919,433,3.99,0.0,0
820919,439,3.99,0.0,0
820919,457,3.99,0.0,0
820919,466,3.99,0.0,0
820919,470,3.99,0.0,0
820919,496,3.99,0.0,0
820919,503,3.99,0.0,0
820919,516,3.99,0.0,0
820919,670,7.98,0.0,0
820923,26,3.99,0.0,0
820923,90,3.99,0.0,0
820923,307,3.99,0.0,0
820923,394,3.99,0.0,0
820923,477,3.99,0.0,0
820923,612,3.99,0.0,0
820923,646,3.69,0.0,0
820935,353,3.49,0.0,0
820950,260,1.67,-0.22,1
820950,297,1.67,-0.22,1
820950,357,1.67,-0.22,1
820950,536,1.67,-0.22,1
820950,543,1.67,-0.22,1
820962,297,2.99,0.0,0
821007,218,1.99,-0.2,1
821007,433,1.39,-0.1,1
821025,26,2.5,-1.08,1
821025,469,3.34,-0.64,1
821025,664,3.58,-0.8,1
821032,223,2.59,0.0,0
821032,327,1.67,-0.92,1
821061,32,1.19,0.0,0
821061,571,1.19,0.0,0
821083,24,1.59,0.0,0
821083,63,1.59,0.0,0
821083,74,1.59,0.0,0
821083,97,1.59,0.0,0
821083,103,3.02,-0.16,1
821083,108,1.43,-0.16,1
821083,147,1.59,0.0,0
821083,159,3.18,0.0,0
821083,164,3.18,0.0,0
821083,167,3.18,0.0,0
821083,179,1.59,0.0,0
821083,203,1.59,0.0,0
821083,209,1.59,0.0,0
821083,231,1.59,0.0,0
821083,233,1.59,0.0,0
821083,236,2.86,-0.32,1
821083,241,1.59,0.0,0
821083,242,1.59,0.0,0
821083,245,1.59,0.0,0
821083,246,1.59,0.0,0
821083,264,1.59,0.0,0
821083,292,1.59,0.0,0
821083,297,3.18,0.0,0
821083,318,1.59,0.0,0
821083,322,1.59,0.0,0
821083,331,1.59,0.0,0
821083,332,1.59,0.0,0
821083,335,1.59,0.0,0
821083,365,1.49,0.0,0
821083,374,1.49,0.0,0
821083,385,2.98,0.0,0
821083,392,1.49,0.0,0
821083,428,1.49,0.0,0
821083,443,1.49,0.0,0
821083,448,1.49,0.0,0
821083,469,1.49,0.0,0
821083,473,1.49,0.0,0
821083,481,1.49,0.0,0
821083,495,1.49,0.0,0
821083,505,1.49,0.0,0
821083,526,1.49,0.0,0
821083,535,1.49,0.0,0
821083,571,2.98,0.0,0
821083,572,1.49,0.0,0
821083,599,2.98,0.0,0
821083,604,1.49,0.0,0
821083,610,1.49,0.0,0
821083,612,1.49,0.0,0
821083,615,2.98,0.0,0
821083,632,1.49,0.0,0
821083,641,1.49,0.0,0
821083,648,2.98,0.0,0
821083,658,1.49,0.0,0
821083,672,1.49,0.0,0
821083,673,1.49,0.0,0
821083,684,1.49,0.0,0
821088,459,3.99,0.0,0
821112,465,3.99,0.0,0
821134,539,2.49,0.0,0
821144,69,1.58,-0.2,1
821144,152,1.78,0.0,0
821156,452,5.89,0.0,0
821184,38,2.5,-0.39,1
821200,108,2.39,0.0,0
821209,24,7.79,-0.2,1
821219,578,1.79,0.0,0
821240,329,5.59,0.0,0
821267,312,13.99,0.0,0
821292,13,2.0,-0.19,1
821316,140,3.99,-2.0,1
821319,435,3.19,0.0,0
821324,247,4.52,-0.46,1
821324,276,2.29,-0.2,1
821324,454,1.99,0.0,0
821344,551,1.0,-0.65,1
821408,453,5.99,0.0,0
821408,683,5.99,0.0,0
821464,195,1.98,0.0,0
821464,203,1.98,0.0,0
821464,385,3.96,0.0,0
821556,25,1.5,-1.19,1
821556,180,1.25,-0.64,1
821556,344,1.67,-0.22,1
821556,409,1.67,-0.22,1
821556,440,1.67,-0.22,1
821556,466,1.5,-0.39,1
821556,495,1.25,-0.64,1
821556,546,1.25,-0.64,1
821556,646,1.67,-0.22,1
821562,146,0.99,-0.4,1
821562,173,0.99,0.0,0
821562,199,0.99,0.0,0
821562,287,0.75,-0.25,1
821562,298,0.75,-0.25,1
821562,307,1.0,0.0,0
821562,615,1.0,0.0,0
821562,652,1.0,0.0,0
821562,672,1.0,0.0,0
821565,463,2.0,-0.49,1
821612,415,2.89,0.0,0
821612,666,2.5,-0.39,1
821640,526,3.89,-0.1,1
821648,602,3.39,0.0,0
821673,202,2.99,-0.7,1
821673,575,2.99,-0.7,1
821695,13,1.99,0.0,0
821695,71,0.99,-1.0,1
821695,95,0.99,-1.0,1
821695,111,0.99,0.0,0
821695,116,0.99,0.0,0
821695,374,1.5,-0.49,1
