method,pattern,treatment_level,mean_error,std_error
DC_PR_auto_rank,Adaptive,0.2,0.11724771687256563,0.14860698140191075
DC_PR_auto_rank,Block,0.2,0.023918783461129956,0.031898927016964104
DC_PR_auto_rank,IID,0.2,0.1342203716580871,0.0702663460508499
DC_PR_auto_rank,Staggered,0.2,0.27593881773865586,0.11301454757337014
DID,Block,0.2,0.21004256225699391,0.0874401318955471
DID,Staggered,0.2,0.2645221297015414,0.19745998835811368
MC_NNM_CV,Adaptive,0.2,0.05024701621151826,0.0
MC_NNM_CV,Block,0.2,0.14709689658959302,0.07404826549080747
MC_NNM_CV,IID,0.2,0.018036644646230792,0.015621199888413012
MC_NNM_CV,Staggered,0.2,0.14816798797517802,0.1642668080879238
RobustSyntheticControl,Block,0.2,0.05911490218616901,0.04808037209420719
SC,Block,0.2,0.07194286362275296,0.04140599990925326
SDID,Block,0.2,0.0753661142081189,0.003980545557453319
SDID,Staggered,0.2,0.4451131330452312,0.5123684871441553
