method,pattern,treatment_level,trial,tau_star,tau_hat,error
DC_PR_auto_rank,IID,0.2,0,23.906570454770794,25.92750191413047,0.08453456187633052
MC_NNM_CV,IID,0.2,0,23.906570454770794,24.0736962271982,0.006990788274863414
DC_PR_auto_rank,IID,0.2,1,23.906570454770794,28.303136538430277,0.18390618143984364
MC_NNM_CV,IID,0.2,1,23.906570454770794,23.21130759519264,0.029082501017598173
DC_PR_auto_rank,Block,0.2,0,23.906570454770794,22.79551902214147,0.04647473106740004
MC_NNM_CV,Block,0.2,0,23.906570454770794,26.171404014693483,0.09473686592594124
DID,Block,0.2,0,23.906570454770794,27.449836225820476,0.14821305204580645
SDID,Block,0.2,0,23.906570454770794,25.775604898736674,0.07818078496461611
SC,Block,0.2,0,23.906570454770794,26.326425238796748,0.10122132694039551
RobustSyntheticControl,Block,0.2,0,23.906570454770794,26.132579586730973,0.09311285933595535
DC_PR_auto_rank,Block,0.2,1,23.906570454770794,23.8739897233883,0.0013628358548598708
MC_NNM_CV,Block,0.2,1,23.906570454770794,19.138239370699004,0.1994569272532448
DID,Block,0.2,1,23.906570454770794,17.407041599625664,0.2718720724681814
SDID,Block,0.2,1,23.906570454770794,22.17211426029928,0.07255144345162166
SC,Block,0.2,1,23.906570454770794,22.886610962966127,0.0426644003051104
RobustSyntheticControl,Block,0.2,1,23.906570454770794,23.306110438649906,0.025116945036382662
DC_PR_auto_rank,Staggered,0.2,0,23.906570454770794,32.41377544510579,0.35585217070051556
MC_NNM_CV,Staggered,0.2,0,23.906570454770794,17.58753406859849,0.26432216189801816
DID,Staggered,0.2,0,23.906570454770794,14.244791529450689,0.4041474264825803
SDID,Staggered,0.2,0,23.906570454770794,25.886366821295233,0.08281390131930662
DC_PR_auto_rank,Staggered,0.2,1,23.906570454770794,28.592867039386462,0.19602546477679617
MC_NNM_CV,Staggered,0.2,1,23.906570454770794,23.141229953602647,0.03201381405233789
DID,Staggered,0.2,1,23.906570454770794,20.920715518979065,0.12489683292050247
SDID,Staggered,0.2,1,23.906570454770794,4.604109870316063,0.8074123647711557
DC_PR_auto_rank,Adaptive,0.2,0,23.906570454770794,24.1974348265451,0.012166712591611391
MC_NNM_CV,Adaptive,0.2,0,23.906570454770794,22.705336621568122,0.05024701621151826
DC_PR_auto_rank,Adaptive,0.2,1,23.906570454770794,29.221687691146506,0.22232872115351987
MC_NNM_CV,Adaptive,0.2,1,23.906570454770794,22.705336621568122,0.05024701621151826
