method,pattern,treatment_level,mean_error,std_error
DC_PR_auto_rank,Adaptive,0.2,0.15280545346556995,0.009388449238484016
DC_PR_auto_rank,Block,0.2,0.01568385821932486,0.021040523518989128
DC_PR_auto_rank,IID,0.2,0.2013824370869846,0.2749580205382025
DC_PR_auto_rank,Staggered,0.2,0.11819293984632566,0.1436461526398612
DID,Block,0.2,0.12068524363259087,0.00015011634258269748
DID,Staggered,0.2,0.14949888919415114,0.21017288643158996
MC_NNM_CV,Adaptive,0.2,0.012792167125491003,9.567750920104254e-17
MC_NNM_CV,Block,0.2,0.10752690179891689,0.015453796164417452
MC_NNM_CV,IID,0.2,0.03519735545330417,0.0327844531402417
MC_NNM_CV,Staggered,0.2,0.09312812336768818,0.09470389014484293
RobustSyntheticControl,Block,0.2,0.059600330123701376,0.02170579483606921
SC,Block,0.2,0.08707924912109638,0.09752304331545818
SDID,Block,0.2,0.027194442026713266,0.025723161670169765
SDID,Staggered,0.2,0.8009739921089889,1.019997019641103
