method,pattern,treatment_level,trial,tau_star,tau_hat,error
DC_PR_auto_rank,IID,0.2,0,26.040269910920383,36.34719409503255,0.3958071179511776
MC_NNM_CV,IID,0.2,0,26.040269910920383,27.560486926001655,0.05837946458626168
DC_PR_auto_rank,IID,0.2,1,26.040269910920383,26.22145176093626,0.006957756222791579
MC_NNM_CV,IID,0.2,1,26.040269910920383,25.727389653692363,0.012015246320346663
DC_PR_auto_rank,Block,0.2,0,26.040269910920383,26.01928245958559,0.000805961359332608
MC_NNM_CV,Block,0.2,0,26.040269910920383,22.95568573094547,0.11845438586185111
DID,Block,0.2,0,26.040269910920383,22.89482946250161,0.12079139191639802
SDID,Block,0.2,0,26.040269910920383,25.805766344079505,0.009005419976178347
SC,Block,0.2,0,26.040269910920383,26.512120744113382,0.018120043870786497
RobustSyntheticControl,Block,0.2,0,26.040269910920383,24.88793548569612,0.044252015404072885
DC_PR_auto_rank,Block,0.2,1,26.040269910920383,25.244433559703523,0.03056175507931711
MC_NNM_CV,Block,0.2,1,26.040269910920383,23.524794999837646,0.09659941773598264
DID,Block,0.2,1,26.040269910920383,22.90035772242345,0.12057909534878372
SDID,Block,0.2,1,26.040269910920383,24.85847225685628,0.045383464077248185
SC,Block,0.2,1,26.040269910920383,30.103553379234636,0.15603845437140626
RobustSyntheticControl,Block,0.2,1,26.040269910920383,24.088586969742362,0.07494864484332986
DC_PR_auto_rank,Staggered,0.2,0,26.040269910920383,31.763038692734327,0.2197661084693294
MC_NNM_CV,Staggered,0.2,0,26.040269910920383,30.2091579211005,0.16009388629385246
DID,Staggered,0.2,0,26.040269910920383,33.80322754022129,0.2981135624114785
SDID,Staggered,0.2,0,26.040269910920383,-13.598770623825967,1.522220801487281
DC_PR_auto_rank,Staggered,0.2,1,26.040269910920383,25.607486582407333,0.01661977122332192
MC_NNM_CV,Staggered,0.2,1,26.040269910920383,26.72154483832445,0.026162360441523893
DID,Staggered,0.2,1,26.040269910920383,26.06329513361642,0.000884215976823733
SDID,Staggered,0.2,1,26.040269910920383,23.964152553375765,0.07972718273069691
DC_PR_auto_rank,Adaptive,0.2,0,26.040269910920383,21.888302782375817,0.15944408958692766
MC_NNM_CV,Adaptive,0.2,0,26.040269910920383,26.37338139561377,0.012792167125490935
DC_PR_auto_rank,Adaptive,0.2,1,26.040269910920383,29.84649328658387,0.14616681734421222
MC_NNM_CV,Adaptive,0.2,1,26.040269910920383,26.373381395613773,0.01279216712549107
